Player Names,Goals,Average Goals Per Match
Andraz Sporar,2,0.667
Ricardo Horta,12,0.387
Bruno Duarte,2,0.333
Nuno Santos,3,0.500
Bruno Duarte,8,0.444
Arkadiusz Milik,11,0.579
Romelu Lukaku,23,0.697
Francesco Caputo,21,0.636
Edin Dzeko,16,0.516
Andrea Petagna,12,0.364
Cristiano Ronaldo,31,0.939
Domenico Berardi,14,0.483
Joao Pedro,18,0.514
Josip Ilicic,15,0.714
Andreas Cornelius,12,0.706
Giovanni Simeone,12,0.353
Ciro Immobile,36,1.000
Marco Mancosu,14,0.500
Duvan Zapata,18,0.720
Lautaro Martrinez,14,0.483
Luis Muriel,18,1.800
Fabio Quagliarella,11,0.423
Gianluca Lapadula,11,0.550
Ante Rebic,11,0.733
Andrea Belotti,16,0.471
Jadon Sancho,17,0.680
Timo Werner,28,0.848
Wout Weghorst,16,0.533
Andrej Kramaric,12,0.857
Marco Reus,11,0.611
Kai Havertz,12,0.414
Marcus Thuram,10,0.357
Rouwen Hennings,15,0.556
Robert Lewandowski,34,1.097
Andre Silva,12,0.750
Florian Niederlechner,13,0.419
Erling Haaland,12,1.091
Jhon Cordoba,13,0.565
Kevin Volland,10,0.417
Nils Petersen,11,0.458
Lars Stindl,9,0.643
Robin Quaison,13,0.419
Serge Gnabry,12,0.462
Sebastian Andersson,12,0.387
Alassane Plea,10,0.400
Neymar ,12,0.800
Dimitri Payet,9,0.409
Mauro Icardi,12,0.857
Memphis Depay,9,0.750
Kasper Dolberg,11,0.500
M'Baye Niang,10,0.417
Adrien Thomasson,7,0.292
Andy Delort,9,0.346
Dario Benedetto,11,0.440
Wissam Ben Yedder,18,0.720
Ludovic Ajorque,8,0.333
Islam Slimani,9,0.643
Adrien Hunou,8,0.615
Denis Bouanga,10,0.435
Sehrou Guirassy,9,0.391
Ãngel Di Maria,8,0.348
Moussa Dembele,16,0.667
Habib Diallo,12,0.462
Kylian Mbappe-Lottin,18,1.059
Victor Osimhen,13,0.520
Dominic Calvert-Lewin,13,0.433
Raul Jimenez,17,0.459
Kevin De Bruyne,13,0.406
Jamie Vardy,23,0.676
Raheem Sterling,20,0.667
Sadio Mane,18,0.581
Chris Wood,14,0.483
Anthony Martial,17,0.548
Riyad Mahrez,11,0.524
Son Heung-Min,11,0.393
Marcus Rashford,17,0.548
Mohamed Salah,19,0.576
Gabriel Jesus,14,0.667
Danny Ings,22,0.688
Pierre-Emerick Aubameyang,22,0.629
Harry Kane,18,0.621
Richarlison  ,13,0.361
Teemu Pukki,11,0.333
Tammy Abraham,15,0.600
Sergio Aguero,16,0.889
Dudu ,9,0.265
Thiago Galhardo,12,0.387
Paolo Guerrero,10,0.435
Pepe,8,0.571
Henrique ,10,0.303
Giorgian de Arrascaeta,12,0.545
Marinho ,8,0.444
Everton ,11,0.478
Gilberto ,14,0.519
Michael ,10,0.286
Carlos Sanchez,12,0.444
Everaldo ,14,0.424
Artur ,7,0.219
Gabriel Barbosa,25,0.862
Wellington Paulista,13,0.464
Bruno Henrique,21,0.724
Marcelo  Cirino,9,0.474
Yeferson Soteldo,9,0.290
Eduardo Sasha,14,0.412
Rafael Moura,9,0.474
Antony None,4,0.500
Quincy Promes,4,1.000
Dusan Tadic,7,0.778
Armando Broja,5,0.833
Steven Berghuis,9,0.900
Michael de Leeuw,5,0.625
Lois Openda,5,0.500
Danilo Nome,9,0.900
Lennart Thy,6,0.600
Donyell Malen,6,0.857
Noni Madueke,4,1.333
Davy Klaassen,5,0.833
Oussama Tannane,4,0.500
Vaclav Cerny,4,0.400
Vangelis Pavlidis,4,0.400
Henk Veerman,8,0.800
Abdou Harroui,4,0.400
Rai Vloet,7,0.700
Lassina Traore,7,1.167
Georgios Giakoumakis,9,0.900
Alex Pozuelo,9,0.375
Kevin Molino,11,0.688
Damir Kreilach,8,0.400
Bradley Wright-Phillips,8,0.533
Diego Rossi,14,0.737
Nicolas Lodeiro,8,0.381
Raul Ruidiaz,14,0.778
Daryl Dike,8,0.471
Gyasi Zardes,14,0.636
Cristian Pavon,10,0.455
Chris Mueller,10,0.526
Romell Quioto,9,0.500
Jordan Morris,11,0.579
Kacper Przybylko,8,0.333
Gustavo Bou,8,0.471
Robert Beric,13,0.591
Ayo Akinola,9,0.818
Jeremy Ebobisse,8,0.727
Diego Valeri,8,0.421
Chris Wondolowski,8,0.571
Youssef   En-Nesyri,4,0.800
Portu ,4,0.667
Karim Benzema,4,0.500
Carlos Soler,4,0.667
Cristian Tello,4,0.571
Mikel Oyarzabal,7,0.778
Esteban Burgos,3,0.500
Lucas Perez,3,0.429
Lionel Messi,4,0.500
Joao Felix,5,0.833
Luis Suarez,5,1.000
Paco Alcacer,5,0.556
Morales ,4,0.400
Federico Valverde,3,0.500
Antoine Griezmann,3,0.375
Iago Aspas,5,0.455
Kike GarcIa,3,0.333
Angel Rodriguez,4,1.333
Ansu Fati,4,0.667
Gerard Moreno,6,0.667
Roberto Soriano,5,0.556
Francesco Caputo,5,0.833
Joao Pedro,6,0.667
Alejandro Gomez,4,0.444
Andrea Belotti,7,0.875
Gaetano Castrovilli,4,0.444
Giovanni Simeone,5,0.625
Domenico Berardi,4,0.500
Henrikh Mkhitaryan,5,0.556
Jordan Veretout,4,0.444
Gervinho ,4,0.500
Lautaro MartInez,5,0.714
Luis Muriel,4,1.333
Cristiano Ronaldo,8,1.600
Romelu Lukaku,7,1.167
Dries Mertens,4,0.444
Ciro Immobile,5,0.833
Fabio Quagliarella,5,0.625
Zlatan Ibrahimovic,10,1.667
Hirving Lozano,4,0.444
Lucas Alario,7,1.167
Bas Dost,3,0.375
Serge Gnabry,4,0.571
Wout Weghorst,6,0.750
Dani Olmo,4,0.444
Ellyes Skhiri,3,0.375
Thomas Muller,4,0.444
Max Kruse,6,0.857
Andre Silva,7,0.778
Andre Hahn,3,0.429
Jean-Philippe Mateta,7,0.778
Andrej Kramaric,7,1.400
Niclas Fullkrug,4,1.000
Lars Stindl,4,0.571
Daniel Caligiuri,3,0.333
Erling Haaland,10,1.429
Jhon Cordoba,3,0.600
Nils Petersen,4,0.667
Matheus Cunha,6,0.667
Robert Lewandowski,12,1.714
Ludovic Blas,4,0.364
Stephane Bahoken,5,0.625
Karl Toko,5,0.556
Kevin Volland,5,0.556
Andy Delort,6,0.545
Burak Yilmaz,6,0.600
Ibrahima Niane,6,1.000
Boulaye Dia,8,0.889
Moise Kean,4,0.667
Ignatius Ganago,4,0.667
Irvin Cardona,5,0.833
Wissam Ben,6,0.600
Florian Thauvin,4,0.400
Amine Gouiri,4,0.444
Jonathan Bamba,4,0.364
Ludovic Ajorque,4,0.364
Kylian Mbappe-Lottin,9,1.286
Mama Balde,4,0.500
Memphis Depay,5,0.556
Gael Kakuta,5,0.500
James Ward-Prowse,4,0.400
Bruno Fernandes,7,0.778
Dominic Calvert-Lewin,10,1.000
Timo Werner,4,0.400
Callum Wilson,7,0.778
Diogo Jota,5,1.000
Wilfried Zaha,5,0.625
Jack Grealish,5,0.556
Raul Jimenez,4,0.400
Jarrod Bowen,4,0.400
Patrick Bamford,7,0.700
Mohamed Salah,8,0.889
Jamie Vardy,8,1.000
Harry Kane,7,0.700
Danny Ings ,5,0.714
Neal Maupay,4,0.444
Ollie Watkins,6,0.667
Sadio Mane,4,0.500
Riyad Mahrez,4,0.571
Son Heung-Min,9,0.900
Luciano ,11,0.688
Vinicius ,7,0.438
Marinho ,13,0.765
Raphael Veiga,6,0.600
Luiz Adriano,7,0.500
Cleber ,5,0.294
German Cano,10,0.526
Pepe,7,0.467
Brenner None,6,0.667
Matheus Babi,6,0.353
Nene ,7,0.389
Bruno Henrique,5,0.333
Thiago Galhardo,15,0.938
Keno ,10,0.526
Alerrandro ,5,0.500
Wellington Paulista,6,0.462
Claudinho ,10,0.526
Robson,6,0.273
Pedro ,10,0.833
Renato Kayzer,7,0.412
Donny van de Beek,8,0.364
Teun Koopmeiners,11,0.440
Cantalapiedra ,7,0.333
Bryan Linssen,14,0.560
Matavz ,12,0.500
Oussama Idrissi,13,0.520
Dusan Tadic,11,0.440
Steven Berghuis,15,0.625
Chidera Ejuke,9,0.375
Myron Boadu,14,0.583
Klaas-Jan Huntelaar,9,1.500
Vangelis Pavlidis,11,0.440
Michael de Leeuw,9,0.346
Donyell Malen,11,0.786
Haris Vuckic,11,0.478
Gyrano Kerk,10,0.417
Quincy Promes,12,0.667
Denzel Dumfries,7,0.280
Cyriel Dessers ,15,0.577
Cody Gakpo,7,0.500
